district,week_start_date,cases,tmax,tmin,app_tmax,app_tmin,humidity,rainfall,precipitation,year,month,week_of_year,sin_week,cos_week,tmean,rainfall_feat,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,rainfall_lag_2,rainfall_lag_3,rainfall_lag_4,rainfall_lag_5,rainfall_lag_6,rainfall_lag_8,temp_lag_1,humidity_lag_1,temp_lag_2,humidity_lag_2,temp_lag_3,humidity_lag_3,temp_lag_4,humidity_lag_4,rolling_mean_2,rolling_mean_4,rolling_std_4,rate_of_change,percentage_change,rainfall_anomaly,temperature_anomaly,humidity_anomaly,is_sw_monsoon,is_ne_monsoon,is_inter_monsoon,monsoon_season
Trincomalee,2018-06-18,64,33.885714285714286,26.114285714285717,35.357142857142854,28.314285714285713,66.0,1.3,1.3,2018,6,25,0.12053668025532308,-0.992708874098054,30.0,1.3,33.0,36.0,25.0,27.0,2.0,8.8,64.6,47.1,67.8,5.1000000000000005,30.17857142857143,67.85714285714286,29.5,72.14285714285714,29.75,72.42857142857143,28.200000000000003,84.14285714285714,48.5,39.5,16.980380835933268,31.0,0.9393939393939394,-4.41038961038961,-0.37189239332096236,-1.7179962894248604,1,0,0,SW
Trincomalee,2018-06-25,60,35.25714285714286,26.142857142857142,37.642857142857146,28.728571428571428,66.0,17.0,17.0,2018,6,26,-3.216245299353273e-16,-1.0,30.700000000000003,17.0,64.0,33.0,36.0,25.0,0.8,2.0,8.8,64.6,47.1,41.6,30.0,66.0,30.17857142857143,67.85714285714286,29.5,72.14285714285714,29.75,72.42857142857143,62.0,48.25,16.00781059358201,-4.0,-0.0625,11.28961038961039,0.3281076066790405,-1.7179962894248604,1,0,0,SW
Trincomalee,2018-07-02,52,34.871428571428574,26.12857142857143,37.74285714285714,28.785714285714285,66.0,5.4,5.4,2018,7,27,-0.12053668025532283,-0.992708874098054,30.5,5.4,60.0,64.0,33.0,36.0,1.3,0.8,2.0,8.8,64.6,67.8,30.700000000000003,66.0,30.0,66.0,30.17857142857143,67.85714285714286,29.5,72.14285714285714,56.0,52.25,13.768926368215125,-8.0,-0.1333333333333333,-3.1551282051282037,0.3354395604395606,-1.2271062271062192,1,0,0,SW
Trincomalee,2018-07-09,57,33.871428571428574,26.47142857142857,34.47142857142857,28.17142857142857,64.14285714285714,1.3,1.3,2018,7,28,-0.23931566428755743,-0.9709418174260521,30.17142857142857,1.3,52.0,60.0,64.0,33.0,17.0,1.3,0.8,2.0,8.8,47.1,30.5,66.0,30.700000000000003,66.0,30.0,66.0,30.17857142857143,67.85714285714286,54.5,58.25,5.057996968497488,5.0,0.09615384615384626,-7.255128205128204,0.0068681318681314,-3.0842490842490804,1,0,0,SW
Trincomalee,2018-07-16,43,35.785714285714285,26.7,36.028571428571425,28.285714285714285,59.57142857142857,0.0,0.0,2018,7,29,-0.3546048870425356,-0.9350162426854148,31.24285714285714,0.0,57.0,52.0,60.0,64.0,5.4,17.0,1.3,0.8,2.0,64.6,30.17142857142857,64.14285714285714,30.5,66.0,30.700000000000003,66.0,30.0,66.0,50.0,53.0,7.438637868140227,-14.0,-0.24561403508771928,-8.555128205128204,1.0782967032967008,-7.65567765567765,1,0,0,SW
Trincomalee,2018-07-23,23,36.31428571428571,25.842857142857145,39.957142857142856,28.37142857142857,66.42857142857143,15.7,15.7,2018,7,30,-0.46472317204376806,-0.8854560256532101,31.07857142857143,15.7,43.0,57.0,52.0,60.0,1.3,5.4,17.0,1.3,0.8,8.8,31.24285714285714,59.57142857142857,30.17142857142857,64.14285714285714,30.5,66.0,30.700000000000003,66.0,33.0,43.75,14.997221964972816,-20.0,-0.4651162790697675,7.144871794871795,0.9140109890109898,-0.7985347985347886,1,0,0,SW
Trincomalee,2018-07-30,23,35.15714285714286,26.042857142857144,37.042857142857144,27.842857142857145,63.285714285714285,2.6,2.6,2018,7,31,-0.5680647467311556,-0.8229838658936566,30.6,2.6,23.0,43.0,57.0,52.0,0.0,1.3,5.4,17.0,1.3,2.0,31.07857142857143,66.42857142857143,31.24285714285714,59.57142857142857,30.17142857142857,64.14285714285714,30.5,66.0,23.0,36.5,16.60321254054959,0.0,0.0,-5.955128205128204,0.435439560439562,-3.9413919413919345,1,0,0,SW
Trincomalee,2018-08-06,23,34.65714285714286,26.085714285714285,35.72857142857143,27.685714285714287,62.42857142857143,4.3999999999999995,4.3999999999999995,2018,8,32,-0.663122658240795,-0.7485107481711013,30.371428571428574,4.3999999999999995,23.0,23.0,43.0,57.0,15.7,0.0,1.3,5.4,17.0,0.8,30.6,63.285714285714285,31.07857142857143,66.42857142857143,31.24285714285714,59.57142857142857,30.17142857142857,64.14285714285714,23.0,28.0,9.999999999999824,0.0,0.0,-12.222368421052632,0.7018796992481242,-7.5,1,0,0,SW
Trincomalee,2018-08-13,16,33.785714285714285,26.271428571428572,34.17142857142857,27.614285714285717,63.714285714285715,2.7,2.7,2018,8,33,-0.7485107481711011,-0.6631226582407952,30.02857142857143,2.7,23.0,23.0,23.0,43.0,2.6,15.7,0.0,1.3,5.4,1.3,30.371428571428574,62.42857142857143,30.6,63.285714285714285,31.07857142857143,66.42857142857143,31.24285714285714,59.57142857142857,19.5,21.25,3.5,-7.0,-0.30434782608695654,-13.922368421052632,0.359022556390979,-6.214285714285715,1,0,0,SW
Trincomalee,2018-08-20,9,35.0,25.414285714285715,38.65714285714286,27.857142857142858,69.14285714285714,15.6,15.6,2018,8,34,-0.8229838658936564,-0.5680647467311559,30.207142857142856,15.6,16.0,23.0,23.0,23.0,4.3999999999999995,2.6,15.7,0.0,1.3,17.0,30.02857142857143,63.714285714285715,30.371428571428574,62.42857142857143,30.6,63.285714285714285,31.07857142857143,66.42857142857143,12.5,17.75,6.701989754294367,-7.0,-0.4375,-1.0223684210526311,0.5375939849624061,-0.7857142857142918,1,0,0,SW
Trincomalee,2018-08-27,4,34.41428571428572,25.228571428571428,39.07142857142857,27.771428571428572,72.28571428571429,28.5,28.5,2018,8,35,-0.8854560256532096,-0.4647231720437691,29.821428571428573,28.5,9.0,16.0,23.0,23.0,2.7,4.3999999999999995,2.6,15.7,0.0,5.4,30.207142857142856,69.14285714285714,30.02857142857143,63.714285714285715,30.371428571428574,62.42857142857143,30.6,63.285714285714285,6.5,13.0,8.286535263104035,-5.0,-0.5555555555555556,11.87763157894737,0.1518796992481235,2.357142857142861,1,0,0,SW
Trincomalee,2018-09-03,10,35.042857142857144,25.342857142857145,37.74285714285714,26.87142857142857,62.57142857142857,2.6,2.6,2018,9,36,-0.9350162426854147,-0.3546048870425359,30.192857142857143,2.6,4.0,9.0,16.0,23.0,15.6,2.7,4.3999999999999995,2.6,15.7,1.3,29.821428571428573,72.28571428571429,30.207142857142856,69.14285714285714,30.02857142857143,63.714285714285715,30.371428571428574,62.42857142857143,7.0,9.75,4.924428900898052,6.0,1.5,-15.436111111111112,0.7299603174603142,-8.365079365079367,1,0,0,SW
Trincomalee,2018-09-10,7,35.371428571428574,25.3,39.542857142857144,28.514285714285712,67.71428571428571,2.6,2.6,2018,9,37,-0.970941817426052,-0.23931566428755774,30.33571428571429,2.6,10.0,4.0,9.0,16.0,28.5,15.6,2.7,4.3999999999999995,2.6,0.0,30.192857142857143,62.57142857142857,29.821428571428573,72.28571428571429,30.207142857142856,69.14285714285714,30.02857142857143,63.714285714285715,8.5,7.5,2.6457513110645894,-3.0,-0.30000000000000004,-15.436111111111112,0.8728174603174601,-3.2222222222222285,1,0,0,SW
Trincomalee,2018-09-17,4,34.98571428571429,26.0,37.15714285714286,28.52857142857143,65.57142857142857,22.2,22.2,2018,9,38,-0.992708874098054,-0.12053668025532357,30.492857142857144,22.2,7.0,10.0,4.0,9.0,2.6,28.5,15.6,2.7,4.3999999999999995,15.7,30.33571428571429,67.71428571428571,30.192857142857143,62.57142857142857,29.821428571428573,72.28571428571429,30.207142857142856,69.14285714285714,5.5,6.25,2.8722813232690134,-3.0,-0.4285714285714286,4.163888888888888,1.029960317460315,-5.365079365079367,1,0,0,SW
Trincomalee,2018-09-24,2,30.714285714285715,24.142857142857142,37.17142857142857,29.085714285714285,85.85714285714286,55.1,55.1,2018,9,39,-1.0,-1.8369701987210297e-16,27.42857142857143,55.1,4.0,7.0,10.0,4.0,2.6,2.6,28.5,15.6,2.7,2.6,30.492857142857144,65.57142857142857,30.33571428571429,67.71428571428571,30.192857142857143,62.57142857142857,29.821428571428573,72.28571428571429,3.0,5.75,3.499999999999999,-2.0,-0.5,37.06388888888889,-2.0343253968253983,14.920634920634924,1,0,0,SW
Trincomalee,2018-10-01,10,29.5,24.314285714285713,35.642857142857146,29.685714285714287,88.14285714285714,42.4,42.4,2018,10,40,-0.992708874098054,0.1205366802553232,26.90714285714286,42.4,2.0,4.0,7.0,10.0,22.2,2.6,2.6,28.5,15.6,4.3999999999999995,27.42857142857143,85.85714285714286,30.492857142857144,65.57142857142857,30.33571428571429,67.71428571428571,30.192857142857143,62.57142857142857,6.0,5.75,3.499999999999999,8.0,4.0,-14.869736842105262,-0.8932330827067609,8.30827067669172,0,0,1,Inter
Trincomalee,2018-10-08,0,31.271428571428572,24.542857142857144,37.17142857142857,28.557142857142857,83.28571428571429,52.9,52.9,2018,10,41,-0.9709418174260521,0.23931566428755738,27.90714285714286,52.9,10.0,2.0,4.0,7.0,55.1,22.2,2.6,2.6,28.5,2.7,26.90714285714286,88.14285714285714,27.42857142857143,85.85714285714286,30.492857142857144,65.57142857142857,30.33571428571429,67.71428571428571,5.0,4.0,4.320493798938573,-10.0,-1.0,-4.369736842105262,0.10676691729323906,3.451127819548873,0,0,1,Inter
Trincomalee,2018-10-15,1,29.842857142857145,23.771428571428572,36.18571428571429,28.199999999999996,87.57142857142857,62.800000000000004,62.800000000000004,2018,10,42,-0.9350162426854148,0.35460488704253557,26.807142857142857,62.800000000000004,0.0,10.0,2.0,4.0,42.4,55.1,22.2,2.6,2.6,15.6,27.90714285714286,83.28571428571429,26.90714285714286,88.14285714285714,27.42857142857143,85.85714285714286,30.492857142857144,65.57142857142857,0.5,3.25,4.573474244670747,1.0,inf,5.530263157894744,-0.9932330827067624,7.73684210526315,0,0,1,Inter
Trincomalee,2018-10-22,2,28.057142857142857,23.599999999999998,33.871428571428574,28.414285714285715,90.57142857142857,141.3,141.3,2018,10,43,-0.8854560256532101,0.464723172043768,25.82857142857143,141.3,1.0,0.0,10.0,2.0,52.9,42.4,55.1,22.2,2.6,28.5,26.807142857142857,87.57142857142857,27.90714285714286,83.28571428571429,26.90714285714286,88.14285714285714,27.42857142857143,85.85714285714286,1.5,3.25,4.573474244670747,1.0,1.0,84.03026315789475,-1.9718045112781901,10.73684210526315,0,0,1,Inter
Trincomalee,2018-10-29,7,28.357142857142858,23.385714285714283,33.728571428571435,27.928571428571427,91.28571428571429,128.6,128.6,2018,10,44,-0.822983865893657,0.5680647467311548,25.87142857142857,128.6,2.0,1.0,0.0,10.0,62.800000000000004,52.9,42.4,55.1,22.2,2.6,25.82857142857143,90.57142857142857,26.807142857142857,87.57142857142857,27.90714285714286,83.28571428571429,26.90714285714286,88.14285714285714,4.5,2.5,3.1091263510296043,5.0,2.5,71.33026315789473,-1.9289473684210492,11.451127819548873,0,0,1,Inter
Trincomalee,2018-11-05,9,27.62857142857143,23.728571428571428,32.01428571428571,27.685714285714287,90.0,260.8,260.8,2018,11,45,-0.7485107481711011,0.6631226582407952,25.67857142857143,260.8,7.0,2.0,1.0,0.0,141.3,62.800000000000004,52.9,42.4,55.1,2.6,25.87142857142857,91.28571428571429,25.82857142857143,90.57142857142857,26.807142857142857,87.57142857142857,27.90714285714286,83.28571428571429,8.0,4.75,3.862210075418822,2.0,0.2857142857142858,181.63287671232877,-0.6240704500978467,5.158512720156551,0,0,1,Inter
Trincomalee,2018-11-12,19,30.157142857142855,23.428571428571427,34.528571428571425,27.314285714285713,80.28571428571429,15.0,15.0,2018,11,46,-0.6631226582407955,0.7485107481711007,26.79285714285714,15.0,9.0,7.0,2.0,1.0,128.6,141.3,62.800000000000004,52.9,42.4,22.2,25.67857142857143,90.0,25.87142857142857,91.28571428571429,25.82857142857143,90.57142857142857,26.807142857142857,87.57142857142857,14.0,9.25,7.135591542869215,10.0,1.1111111111111112,-64.16712328767123,0.49021526418786365,-4.555772994129157,0,0,1,Inter
Trincomalee,2018-11-19,19,28.5,23.542857142857144,34.08571428571429,28.400000000000002,90.42857142857143,88.7,88.7,2018,11,47,-0.5680647467311559,0.8229838658936564,26.021428571428572,88.7,19.0,9.0,7.0,2.0,260.8,128.6,141.3,62.800000000000004,52.9,55.1,26.79285714285714,80.28571428571429,25.67857142857143,90.0,25.87142857142857,91.28571428571429,25.82857142857143,90.57142857142857,19.0,13.5,6.4031242374328485,0.0,0.0,9.532876712328772,-0.28121330724070503,5.587084148727982,0,0,1,Inter
Trincomalee,2018-11-26,43,28.114285714285717,24.37142857142857,31.87142857142857,28.314285714285713,81.57142857142857,66.8,66.8,2018,11,48,-0.4647231720437684,0.88545602565321,26.242857142857144,66.8,19.0,19.0,9.0,7.0,15.0,260.8,128.6,141.3,62.800000000000004,42.4,26.021428571428572,90.42857142857143,26.79285714285714,80.28571428571429,25.67857142857143,90.0,25.87142857142857,91.28571428571429,31.0,22.5,14.45683229480096,24.0,1.263157894736842,-12.367123287671234,-0.059784735812133505,-3.2700587084148793,0,0,1,Inter
Trincomalee,2018-12-03,37,28.24285714285714,24.142857142857142,32.457142857142856,28.52857142857143,85.85714285714286,62.300000000000004,62.300000000000004,2018,12,49,-0.35460488704253595,0.9350162426854147,26.192857142857143,62.300000000000004,43.0,19.0,19.0,9.0,88.7,15.0,260.8,128.6,141.3,52.9,26.242857142857144,81.57142857142857,26.021428571428572,90.42857142857143,26.79285714285714,80.28571428571429,25.67857142857143,90.0,40.0,29.5,12.36931687685298,-6.0,-0.13953488372093026,-7.740000000000002,0.40438095238095073,3.2152380952381066,0,1,0,NE
Trincomalee,2018-12-10,53,28.24285714285714,23.8,31.02857142857143,27.071428571428573,80.14285714285714,7.9,7.9,2018,12,50,-0.2393156642875578,0.970941817426052,26.021428571428572,7.9,37.0,43.0,19.0,19.0,66.8,88.7,15.0,260.8,128.6,62.800000000000004,26.192857142857143,85.85714285714286,26.242857142857144,81.57142857142857,26.021428571428572,90.42857142857143,26.79285714285714,80.28571428571429,45.0,38.0,14.2828568570857,16.0,0.43243243243243246,-62.14000000000001,0.2329523809523799,-2.499047619047616,0,1,0,NE
