latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
6.924429,79.90725,4,19800,Asia/Colombo,GMT+5:30,,,,,,,
,,,,,,,,,,,,
time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
3/10/2007,67,91,35,34.4,23.7,32.6,39.3,28.4,28.4,0,0,3
3/11/2007,68,86,43,32.8,25.1,32.5,37,30.1,28.3,0,0,3
3/12/2007,69,86,52,31.8,25.1,32.7,36.7,29.6,28.3,0.5,0.5,51
3/13/2007,78,96,54,33.2,25,33.4,40.3,31,27.9,24.8,24.8,63
3/14/2007,83,96,67,31.5,24.2,33.5,40.3,29.7,27.4,2.4,2.4,53
3/15/2007,84,94,67,30.7,25.2,33.2,38.2,30.3,27.4,2.2,2.2,61
3/16/2007,85,97,67,31.4,24.2,32.7,39.4,29.6,26.8,10.3,10.3,63
3/17/2007,83,96,65,31.1,24.4,33.3,39.3,30.1,27.3,1.5,1.5,53
3/18/2007,79,96,58,31.4,24,32.9,38.2,29.1,27.5,0.1,0.1,51
3/19/2007,78,95,57,31.6,23.2,32.6,38.4,27.8,27.4,0,0,3
3/20/2007,75,94,53,32,23.7,32.6,38.3,28.5,27.8,0,0,2
3/21/2007,75,93,56,30.9,24.6,32,36.5,29.2,27.5,0,0,2
3/22/2007,73,90,50,32.4,24.8,33,37.4,29.8,28.2,0,0,3
3/23/2007,74,91,49,32,24.3,32.5,37.9,29,27.8,0.5,0.5,51
3/24/2007,74,95,51,31.9,23.5,32.3,36.7,28.3,27.8,0.3,0.3,51
3/25/2007,71,92,51,32.3,24,33.1,37.6,28.7,28.5,0.2,0.2,51
3/26/2007,72,91,50,32.3,24.4,33.1,38,29.2,28.5,0.8,0.8,51
3/27/2007,72,89,45,33.6,24,33.1,39.3,28.2,28.4,0.1,0.1,51
3/28/2007,69,88,43,33.7,25,33.8,39.3,30,28.9,0,0,1
3/29/2007,69,91,43,33.5,24.7,33.3,38.5,29.6,28.8,0.3,0.3,51
3/30/2007,70,86,52,32.4,25.7,33.4,38,30.6,28.8,0.4,0.4,51
3/31/2007,73,85,55,32.4,26,33.5,38.7,30.8,28.4,3.4,3.4,61
4/1/2007,81,94,59,31.7,24.8,32.6,37.9,30,27.3,13.4,13.4,63
4/2/2007,77,90,61,31.3,25,33,37.7,29.7,27.9,0.8,0.8,51
4/3/2007,82,94,66,31.3,25,33.3,38.8,30.6,27.7,1.4,1.4,53
4/4/2007,81,93,63,31.4,25.1,32.7,39.1,29.5,27.4,1,1,51
4/5/2007,82,96,58,32.2,24.7,32.9,39.7,29.9,27.4,31.1,31.1,63
4/6/2007,88,95,72,30.3,24.7,32.8,36.5,29.7,26.8,19.4,19.4,63
4/7/2007,89,97,77,30.3,23.8,31.8,38.2,28.7,26.2,47,47,65
4/8/2007,90,97,73,29.6,24.8,31.1,35.6,29.7,25.8,65.6,65.6,65
4/9/2007,91,96,83,27.3,24.1,30.8,33.4,29.1,25.4,22.7,22.7,61
4/10/2007,91,96,80,27.6,24.4,30.5,32.2,29.3,25.5,21.6,21.6,61
4/11/2007,93,96,91,25.9,24.2,29.8,30.9,28.7,24.9,46,46,63
4/12/2007,91,99,80,27.9,23.3,30.5,33.2,28.1,25.3,45.6,45.6,63
4/13/2007,89,97,81,30.5,24,33.7,39.5,29.7,27.1,3.4,3.4,55
4/14/2007,85,96,70,31.4,24.8,33.3,39.8,30.4,27.3,3.5,3.5,53
4/15/2007,87,94,75,29.9,24.9,32.4,38.4,30.1,26.6,8.4,8.4,61
4/16/2007,83,96,67,30.4,24.3,32.9,36.4,29.4,27.3,0.7,0.7,51
4/17/2007,82,95,66,30.4,24.5,32.9,36.9,29.8,27.4,0,0,1
4/18/2007,83,94,68,30.8,24.3,33.4,38.4,29.2,27.6,0.5,0.5,51
4/19/2007,84,94,68,30.8,25.2,33.3,38.3,30.8,27.6,2,2,51
4/20/2007,84,94,72,30.3,25,33.1,38.1,30.6,27.3,2.3,2.3,55
4/21/2007,86,94,69,30.3,24.7,32.8,37.4,30,27,4.9,4.9,61
4/22/2007,88,96,79,29.4,24.3,32.4,36.5,29.4,26.7,11,11,63
4/23/2007,85,94,72,30.6,24.9,33,37.6,30.2,27.2,7,7,63
4/24/2007,85,94,71,30.2,24.7,32.7,36.4,29.3,27.3,3,3,55
4/25/2007,85,93,73,31,25.4,33.2,38.8,30.6,27.4,6.6,6.6,63
4/26/2007,89,94,80,30.1,25,32.8,38.5,30.1,26.8,10,10,63
4/27/2007,89,96,77,30.5,24.4,33.1,39.2,29.7,26.9,9.4,9.4,63
4/28/2007,87,94,72,30.8,25.1,32.6,38.8,30.3,26.8,9.7,9.7,63
4/29/2007,87,94,78,30.1,24.4,32.2,38,29.3,26.7,6.8,6.8,63
4/30/2007,85,94,72,30.8,25,32.8,38.9,30.2,27.1,3.8,3.8,61
5/1/2007,84,94,69,30.7,24.9,33.5,37.4,30.5,27.7,2.9,2.9,53
5/2/2007,89,96,79,30.6,25.3,33.9,38.9,30.7,27.7,7.1,7.1,63
5/3/2007,89,95,77,29.7,25.6,32.1,35.5,30.7,26.8,13.1,13.1,63
5/4/2007,90,97,80,28.7,25.6,31.9,34,30.6,26.6,16.1,16.1,63
5/5/2007,87,95,79,30,25.2,33.1,35.9,30.8,27.5,5.2,5.2,55
5/6/2007,87,94,76,30,25.9,33,35.9,31.1,27.4,8.6,8.6,63
5/7/2007,88,94,78,29.9,25.3,32.3,36.3,30.3,27.2,5.8,5.8,53
5/8/2007,89,93,82,29.2,25.8,32.1,35.6,30.8,27,12.9,12.9,61
5/9/2007,88,93,81,29,25.7,31.9,33.8,30.5,27,18.3,18.3,63
5/10/2007,88,93,78,29.6,25.3,32.3,34.8,30,27.1,16.8,16.8,63
5/11/2007,88,93,79,29.2,26,32.2,34.2,30.8,27.1,6.6,6.6,61
5/12/2007,88,93,79,28.8,25.9,31.5,33.1,29.7,26.9,8.7,8.7,61
5/13/2007,81,91,71,30,26.4,32.7,35,31.6,28.1,0.4,0.4,51
5/14/2007,79,89,67,30.6,26.6,33.1,35.6,31.5,28.3,0,0,3
5/15/2007,79,88,64,30.6,26.3,33,35.7,31.3,28.1,0,0,3
5/16/2007,79,88,69,30.2,26.3,32.7,36.3,30.7,27.9,0,0,3
5/17/2007,79,89,65,30.1,25.8,31.7,33.7,30.3,27.6,0,0,3
5/18/2007,84,91,73,29.7,26,32.1,35.7,30.6,27.5,1.8,1.8,51
5/19/2007,86,93,78,29.7,25.5,31.8,35.4,30,27.1,2.6,2.6,53
5/20/2007,86,92,72,29.9,25.7,32.5,36.3,30.8,27.3,3.5,3.5,55
5/21/2007,87,91,81,29.8,25.9,32.7,36.1,30.9,27.5,3.5,3.5,61
5/22/2007,87,92,82,29.4,25.6,32.2,35.7,30.2,27.2,1.5,1.5,51
5/23/2007,86,92,74,29.7,25.6,32.4,36.1,30.1,27.4,2.2,2.2,53
5/24/2007,85,93,75,30.1,25.4,32.7,36.9,30.3,27.4,2.5,2.5,53
5/25/2007,85,94,71,30.3,25.2,32.7,36,30.5,27.5,2.4,2.4,51
5/26/2007,85,92,76,30.2,25.8,33.1,36.4,31.3,27.7,0.4,0.4,51
5/27/2007,89,95,81,28.7,24.8,31.5,35.1,29.8,26.3,14.4,14.4,61
5/28/2007,91,94,85,26.3,24.7,29.9,30.8,28.9,25.3,36.8,36.8,63
5/29/2007,84,96,71,29.4,24,31.5,33.8,28.7,26.7,2.6,2.6,55
5/30/2007,88,94,81,29.5,25.1,32.5,37.2,30.2,26.8,9,9,61
5/31/2007,85,93,73,30.4,24.8,33.2,39.2,29.8,27.3,4.3,4.3,61
6/1/2007,85,91,78,29.4,25.5,32.9,35.3,30.9,27.4,2.4,2.4,53
