latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
6.924429,79.90725,4,19800,Asia/Colombo,GMT+5:30,,,,,,,
,,,,,,,,,,,,
time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
12/11/2009,80,89,68,29.1,23.9,29.1,32.1,26.4,26.1,0.5,0.5,51
12/12/2009,89,94,80,27.9,24.6,29.8,32.2,28.8,25.7,10.5,10.5,63
12/13/2009,88,95,82,27.7,24.1,30.7,33.1,28.7,25.9,3.4,3.4,53
12/14/2009,88,94,73,28.4,23.9,30,32.6,27.9,25.5,9.9,9.9,63
12/15/2009,89,95,79,28.1,24,30.4,33.4,28.3,25.5,10.3,10.3,63
12/16/2009,89,96,78,28.5,23.8,30.6,34.5,28.1,25.7,5.8,5.8,63
12/17/2009,84,97,65,30,22.4,31.1,36.5,26.7,26,0.6,0.6,53
12/18/2009,86,98,69,29.7,22.6,31.5,35.6,27.2,26,3.5,3.5,61
12/19/2009,86,96,68,30.3,24,32,37.3,29,26.5,3.2,3.2,61
12/20/2009,83,95,64,30.2,24.1,32,35.3,28.5,26.8,0.1,0.1,51
12/21/2009,86,96,71,29.4,24.4,30.8,35.2,28.1,26.1,21.3,21.3,65
12/22/2009,89,96,76,29,24.4,30.8,34.1,28.5,25.9,9.9,9.9,63
12/23/2009,90,95,74,29,23.8,30.2,34,27.5,25.4,21.3,21.3,65
12/24/2009,89,96,74,29.8,23.7,30.8,36.6,28,25.8,11.6,11.6,63
12/25/2009,91,96,82,27.8,23.9,29.9,33.2,28.2,25.1,60.8,60.8,65
12/26/2009,89,96,74,29.2,23.4,30,35.9,26.9,25.4,11.5,11.5,63
12/27/2009,90,97,77,29.1,23.7,30.7,35.8,28.7,25.4,23.8,23.8,63
12/28/2009,89,96,73,29.7,23.2,30.6,37.1,27.4,25.4,30.2,30.2,63
12/29/2009,86,95,67,29.3,23.3,30.3,35.7,27.9,25.4,25.3,25.3,63
12/30/2009,87,96,72,28.9,23.3,30.8,35.4,28.1,25.6,3.4,3.4,61
12/31/2009,79,96,59,29,22,28.6,32.4,25.6,25.4,0,0,3
1/1/2010,74,86,59,30.1,22.6,28.3,33.2,24.7,26,0,0,3
1/2/2010,75,84,59,30.1,23.7,29,33.1,25.7,26.3,0,0,3
1/3/2010,80,90,63,29.6,23.1,29.4,33.5,25.9,26,0.2,0.2,51
1/4/2010,76,87,61,28.9,23.1,28.2,31.7,25.9,25.7,0,0,3
1/5/2010,71,85,53,28.1,21.3,26.2,30.2,22.9,24.6,0,0,3
1/6/2010,67,83,52,28.8,21.3,26,30.7,22.9,24.9,0,0,3
1/7/2010,71,83,58,29.3,22,28,33.4,24.2,25.6,0,0,3
1/8/2010,79,94,71,28.4,23.4,28.8,32.2,25.9,25.6,0.9,0.9,51
1/9/2010,88,97,70,29.1,23.5,31.4,35.6,28.4,26,3.3,3.3,61
1/10/2010,83,98,61,30.1,22.6,31.4,36.1,27.4,26.2,0.2,0.2,51
1/11/2010,82,96,64,29.7,22.4,31.5,36,26.6,26.3,0,0,1
1/12/2010,84,94,71,29.8,24.2,31.8,36.6,28.9,26.3,4.7,4.7,61
1/13/2010,86,96,69,30,23.6,31.4,36.7,28.5,26,2.1,2.1,53
1/14/2010,85,97,72,30.1,23.1,31.9,37.3,27.8,26.3,0.7,0.7,53
1/15/2010,74,97,50,30.7,23,29.4,34,25.6,26.4,0,0,0
1/16/2010,76,90,60,31.1,23.5,29.8,35.2,25.5,26.5,0.4,0.4,51
1/17/2010,78,89,64,29.8,24.2,29.6,32.8,27.3,26.5,0.4,0.4,51
1/18/2010,77,85,64,29.5,23.9,29.5,33.5,26.8,26.2,0.3,0.3,51
1/19/2010,76,90,59,31,23.8,30.6,35.7,26.8,26.8,0.2,0.2,51
1/20/2010,67,87,48,31.4,23.4,29.6,34.8,26,27,0,0,2
1/21/2010,65,82,47,31.2,22.8,28.3,33.3,24.5,26.7,0,0,0
1/22/2010,65,86,43,31.4,21.7,27.9,33,23.6,26.3,0,0,0
1/23/2010,62,81,40,31,21.5,27.4,32.9,22.5,25.9,0,0,3
1/24/2010,66,82,43,30.8,22.5,29.3,34.3,25,26.4,0,0,3
1/25/2010,68,90,44,31.5,23,30.6,34.6,26.7,27.3,0,0,3
1/26/2010,66,85,42,32.5,23.9,31.4,36.7,27.5,27.8,0,0,1
1/27/2010,68,86,48,32.7,24,31.3,37,27.2,27.9,0,0,2
1/28/2010,66,87,48,32.8,24.6,31.1,35.6,28.2,28.4,0,0,3
1/29/2010,62,78,43,33.2,24.6,29.9,35.4,26.2,28.3,0,0,2
1/30/2010,73,87,59,29.8,22.5,28.3,31.4,25.1,26.2,22.6,22.6,63
1/31/2010,77,89,62,31,23.5,29.9,36.2,25.4,26.5,1.1,1.1,53
2/1/2010,80,95,64,30.9,24.4,30.5,36.4,26.9,26.4,4.3,4.3,63
2/2/2010,79,92,59,31.2,24,30.5,35.5,27.2,26.7,1.3,1.3,51
2/3/2010,72,87,51,31.5,23.6,30,34.4,26.3,27.1,0,0,1
2/4/2010,71,85,51,31.4,23.4,30.2,36.3,26,27,0,0,3
2/5/2010,66,79,48,31.9,23.5,29.6,35.3,25.8,27.3,0,0,3
2/6/2010,64,82,44,32.4,23.2,29.2,35.4,24.8,27.4,0,0,3
2/7/2010,61,76,45,32.1,23.9,28.6,34.5,25.1,27.4,0,0,3
2/8/2010,61,77,39,32.5,22.8,29.1,34.2,23.6,27.4,0,0,3
2/9/2010,69,82,58,28.4,24.3,29.6,31.9,26.2,26.4,1,1,53
2/10/2010,71,88,55,31.9,24.9,32.7,37,30,28.3,0,0,3
2/11/2010,74,90,56,31.5,25.7,32.2,35.5,29.6,27.8,0,0,3
2/12/2010,79,94,59,29.8,24.4,31.1,33.4,28.8,26.8,0.9,0.9,51
2/13/2010,80,92,56,32.6,24.6,32.6,38.7,28.9,27.5,2,2,55
2/14/2010,76,96,48,32.4,23.6,32.1,38.6,27.9,27.4,0,0,3
2/15/2010,72,94,42,33.1,24.3,32.9,38.2,29.4,28.1,0,0,3
2/16/2010,71,87,51,32.4,25.5,32.9,36.5,30.7,28.2,1,1,51
2/17/2010,80,94,56,32.9,24.6,33,38.7,29.9,27.6,4.2,4.2,63
2/18/2010,88,96,76,30.2,24.3,32.7,38.4,29.9,26.7,22.3,22.3,63
2/19/2010,81,96,59,31.5,24,32.9,37.6,29,27.4,0,0,3
2/20/2010,81,90,66,30.4,25.6,32.6,36.8,30.5,27.5,0.9,0.9,51
2/21/2010,78,97,49,33.2,24.5,33.7,39.3,29.9,28.1,0,0,3
2/22/2010,79,97,49,33.7,23,33,40.8,27.8,27.6,0,0,3
2/23/2010,76,91,52,32.1,25.6,33.3,37.9,31.1,28.1,0.2,0.2,51
2/24/2010,82,94,68,29.6,24.8,31.8,35.4,30.1,26.8,3.9,3.9,53
2/25/2010,74,91,56,31.5,24,32,37.4,28.6,27.4,0,0,1
2/26/2010,75,92,51,32.3,24.5,32.6,37.5,29.3,27.8,0,0,3
2/27/2010,75,94,50,32.6,23.6,32.8,39,28.4,27.8,0,0,2
2/28/2010,75,91,52,32.2,24.5,32.8,37.8,29.2,27.9,0.2,0.2,51
3/1/2010,72,93,46,32.6,24.1,32.8,38.3,29,28,0,0,3
3/2/2010,68,87,50,32.1,24.5,32.2,37.5,29,28,0,0,3
3/3/2010,68,87,47,32.7,24.2,32.2,37.9,28.6,28.1,0,0,3
3/4/2010,73,85,60,30.4,25.6,31.9,35.1,30,27.6,1.4,1.4,51
3/5/2010,71,88,51,31.6,24.6,31.5,36.1,28.5,27.6,0,0,3
3/6/2010,69,91,44,31.6,22.5,30.3,34.9,26.2,27.2,0,0,3
3/7/2010,73,88,53,32.9,24.5,33,37.4,29,28.6,0,0,3
3/8/2010,74,90,56,32.7,26.5,34.4,39,32.1,29.1,0.5,0.5,51
3/9/2010,71,87,47,33.6,26.1,34.3,40.3,31.4,29.3,0.1,0.1,51
3/10/2010,70,91,46,33.5,25.4,34.4,40,31,29.2,0,0,2
3/11/2010,69,90,41,34.9,24.9,34.3,41.1,29.5,29.4,0.2,0.2,51
3/12/2010,74,90,50,34,25.9,33.8,40.3,31,28.7,4.2,4.2,61
3/13/2010,77,94,51,34,25.1,34,41.6,30.4,28.3,4,4,61
3/14/2010,79,96,57,32.1,25.4,34,38.8,31,28.2,0.6,0.6,51
3/15/2010,77,94,57,31.7,24.5,33.6,38.2,29.7,28.3,0.1,0.1,51
3/16/2010,79,92,60,31.6,25.9,34,38.6,31.8,28.2,0.5,0.5,51
3/17/2010,72,94,43,33.6,24.8,33.7,38.4,30.4,28.6,0,0,3
3/18/2010,72,91,48,32.8,24.6,32.9,38.3,29.5,28.2,0.5,0.5,51
3/19/2010,74,94,47,33.7,24.3,33.3,40,28.9,28.3,0.6,0.6,51
3/20/2010,69,94,42,34.4,23.9,34.1,39.3,28.9,29.2,0,0,2
3/21/2010,71,92,50,33.1,25.5,34.2,38.9,31.1,29.3,0.2,0.2,51
3/22/2010,71,85,55,32.2,25.9,33.4,37.5,30.3,28.9,0.2,0.2,51
3/23/2010,77,87,59,32.6,25.9,33.6,39.4,31,28.3,2,2,53
3/24/2010,78,92,65,30.9,25.5,33.1,36.2,31.1,28,7,7,63
3/25/2010,74,91,55,32.7,25.5,34.4,38.9,31.1,29,0.4,0.4,51
3/26/2010,77,93,58,32.2,25.6,33.9,37.8,30.7,28.6,9.8,9.8,61
3/27/2010,85,93,71,31.5,25.2,33.5,39.1,30.6,27.5,8.8,8.8,61
3/28/2010,82,92,64,31.4,25.8,33.7,38.6,31.5,27.9,2.9,2.9,55
3/29/2010,80,96,65,31.1,25.4,34.2,38.5,31.1,28.3,1.2,1.2,51
3/30/2010,82,93,63,32,25.3,33.3,39.3,30.4,27.7,4.8,4.8,61
3/31/2010,85,95,73,30.8,24.8,32.8,38.5,29.6,27.3,6.7,6.7,61
4/1/2010,86,95,73,31,25,33.1,37.9,30.1,27.5,5.7,5.7,61
4/2/2010,82,94,66,31.7,25.5,34.4,39.2,31,28.4,1.8,1.8,53
4/3/2010,82,93,66,31.6,25.6,34.2,39.4,31.2,28.2,0.9,0.9,53
4/4/2010,85,94,72,30.3,24.9,32.9,37,30.3,27.1,13.3,13.3,63
4/5/2010,88,97,76,30.8,24.6,33.4,39.5,30.3,27.1,21.9,21.9,63
4/6/2010,86,97,68,31.3,24.5,33.3,39.3,30.1,27.1,27.8,27.8,63
4/7/2010,85,95,67,31,25.5,33.6,38.3,31.3,27.4,14.6,14.6,63
4/8/2010,84,96,68,31.1,25,33.9,37.5,30.7,27.8,0.1,0.1,51
4/9/2010,87,94,76,30.8,25.5,33.9,40.5,30.9,27.4,20.6,20.6,63
4/10/2010,86,95,71,30.8,25.5,33.1,38.2,30.9,27.2,6.1,6.1,61
4/11/2010,86,91,74,31.2,26,33.6,38.7,31.7,27.7,5.2,5.2,63
4/12/2010,85,92,77,30.9,25.9,33.9,38.8,31.6,28,1.1,1.1,53
4/13/2010,87,93,79,30.6,26.2,34.1,38.1,32.1,27.9,2.4,2.4,53
4/14/2010,91,96,85,27.4,25.5,32,32.7,31.1,26.5,8.8,8.8,61
4/15/2010,84,94,71,31.5,25.1,33.8,39.5,30.4,27.9,1.5,1.5,53
4/16/2010,85,93,71,30.6,25.7,33.8,38,31.2,27.8,4.9,4.9,61
4/17/2010,88,94,77,31.1,25.4,34,40.2,31,27.4,15.3,15.3,63
4/18/2010,87,95,73,31.1,25.3,33.7,38.7,31,27.5,6.1,6.1,61
4/19/2010,87,94,80,30.1,25.2,33.2,37.4,30.8,27.3,6.6,6.6,63
4/20/2010,87,94,78,31.2,25.6,34.3,40.6,31.4,28,2.2,2.2,53
4/21/2010,89,96,82,30.4,25.7,33.2,38.1,30.9,27.3,4.1,4.1,55
4/22/2010,87,94,79,30,25.4,33,36.5,30.4,27.3,4.2,4.2,55
4/23/2010,88,94,77,30.1,25.8,32.6,36.7,30.8,27.1,14.7,14.7,63
4/24/2010,91,95,84,28.4,25.3,32.3,34,31,26.4,18.8,18.8,63
4/25/2010,87,95,75,30.3,24.5,33.2,37.3,29.7,27.4,7.7,7.7,61
4/26/2010,88,95,73,30.5,25.3,33.4,37.7,30.8,27.4,13.5,13.5,63
4/27/2010,87,95,75,30.8,25.3,33.8,38.5,30.8,27.5,7.9,7.9,63
4/28/2010,87,96,73,31.2,25.2,34.2,39.9,31.3,27.6,5.4,5.4,61
4/29/2010,85,95,68,31.5,25.6,34.2,39.6,31.6,27.8,6.4,6.4,61
4/30/2010,85,93,68,31.2,25.4,33.5,39.4,31.2,27.4,17,17,63
5/1/2010,85,96,69,31.1,25.1,33.8,37.9,30.6,27.7,9.2,9.2,61
5/2/2010,84,96,68,31.6,25.6,34.2,38.6,31.8,28,7.2,7.2,61
5/3/2010,88,94,78,30.8,25.8,33.6,38.7,31.6,27.5,7.6,7.6,61
5/4/2010,89,94,82,30.1,26.1,34.2,37.9,32.1,27.8,3,3,55
5/5/2010,88,94,83,29.2,26,33.4,35.6,31.6,27.5,1.7,1.7,51
5/6/2010,87,92,80,31.1,26.5,34.1,40.5,31.8,27.9,6.1,6.1,63
5/7/2010,87,93,76,30.8,26.1,33.5,37.6,31.8,27.6,8.1,8.1,61
5/8/2010,89,95,78,30,25.4,33.2,37.5,30.8,27.1,18.2,18.2,63
5/9/2010,91,95,82,28.9,25.5,31.5,34.7,30.8,26.3,20.1,20.1,63
5/10/2010,85,96,74,30.3,25.4,33.6,36.8,31.3,27.8,4,4,55
5/11/2010,85,94,73,30.6,26,34,36.6,31.9,28.1,5.2,5.2,61
5/12/2010,88,96,78,30,26.5,33.9,36.4,32.6,27.8,4.6,4.6,55
5/13/2010,89,94,79,29.9,26,34.2,37.4,32,27.8,4,4,53
5/14/2010,89,94,82,29.1,26.1,32.8,34.8,30.8,27.2,11.4,11.4,61
5/15/2010,89,95,82,30,25.8,33.4,38,31.5,27.4,8.5,8.5,61
5/16/2010,89,93,81,29.2,26,32.1,34.7,30.9,26.9,4.2,4.2,61
5/17/2010,90,93,84,28.1,25.8,32,33.6,30.8,26.7,8,8,55
5/18/2010,91,95,83,28,25.5,30.8,32.2,30,26.4,8.4,8.4,61
5/19/2010,89,95,79,29,25.4,31.4,33.3,29.9,26.8,5.6,5.6,53
5/20/2010,92,94,90,27.5,25.7,30.6,31.9,29.7,26.3,53.6,53.6,63
5/21/2010,91,95,84,27.4,25.3,31.4,32.7,29.9,26.3,17.2,17.2,63
5/22/2010,90,95,83,28.3,25.4,31.5,33.5,29.7,26.6,13.4,13.4,63
5/23/2010,89,94,81,28.5,25.3,31.1,33.3,30.1,26.5,14.9,14.9,63
5/24/2010,88,94,81,29,25.4,31.3,33.7,29.9,26.8,12.5,12.5,63
5/25/2010,88,91,76,29.7,25.9,32,35.4,30.6,27,12.5,12.5,63
5/26/2010,87,93,79,30,26.3,33,35.8,31.7,27.7,4.3,4.3,51
5/27/2010,85,94,76,29.4,25.8,32.5,35,30.6,27.6,3.4,3.4,51
5/28/2010,88,93,83,29,25.4,32.2,34.5,30.3,27.1,4.5,4.5,55
5/29/2010,85,93,74,29.6,25.5,32.1,35,30.7,27.2,3.3,3.3,51
5/30/2010,87,94,78,29.8,25.2,32.6,36.2,30.5,27.1,2.7,2.7,53
5/31/2010,87,94,79,29.5,25.5,33.2,35.6,31.3,27.5,1.1,1.1,51
6/1/2010,86,94,81,30.2,26.1,34.1,37.1,32.1,28.1,2.8,2.8,51
6/2/2010,88,95,82,30.2,25.9,33.8,37.9,31.6,27.8,1,1,51
6/3/2010,88,93,83,30,25.6,33.4,38,30.8,27.5,2.1,2.1,53
6/4/2010,89,93,80,29.9,25.8,32.5,36.3,30.8,27.2,5.6,5.6,55
6/5/2010,90,96,85,28.7,24.8,31.4,34.5,29.7,26.4,20.2,20.2,63
6/6/2010,90,94,83,27.6,25,30.8,32.6,29.9,26.2,22.8,22.8,63
6/7/2010,85,93,77,29.1,25.7,31.6,33.6,30.4,27,17.5,17.5,63
6/8/2010,85,92,75,29.5,25.9,32,34.4,31.3,27.3,7,7,53
6/9/2010,87,93,82,28.4,25.1,30.9,32.9,29.4,26.6,12.9,12.9,61
6/10/2010,91,93,85,27.5,25.2,29.7,31.3,28.9,25.9,51.3,51.3,63
6/11/2010,89,91,80,28.6,25.7,30.4,32.3,28.8,26.5,13.6,13.6,63
6/12/2010,88,93,82,28.3,25.1,30.8,32.3,28.7,26.5,12.4,12.4,61
6/13/2010,89,95,83,28.3,24.9,31.4,33.9,29.6,26.4,6.9,6.9,55
6/14/2010,88,94,74,29.3,24.8,31.8,34,30,26.5,11.3,11.3,63
6/15/2010,88,95,74,29.6,24.4,32.5,35.3,29.6,26.9,3.5,3.5,53
6/16/2010,87,94,75,29.6,25.4,32.3,35,30.7,27,3.2,3.2,53
6/17/2010,88,94,78,28.8,24.9,31.3,34.2,29.9,26.4,5.1,5.1,55
6/18/2010,87,94,77,28.9,24.6,30.8,34.6,29.2,26.3,6.1,6.1,53
6/19/2010,88,94,74,29.2,24.8,31.1,33.6,29.3,26.5,4.6,4.6,55
6/20/2010,86,94,74,29,24.8,31.1,35.4,29,26.5,2.6,2.6,51
6/21/2010,88,93,77,29.3,24.9,31.4,34.8,29.4,26.6,7.4,7.4,61
6/22/2010,87,92,80,28.8,25.3,31.1,33.5,29.2,26.7,10.9,10.9,61
6/23/2010,88,94,80,28.7,25.1,30.4,33.1,28.7,26.3,25.4,25.4,63
6/24/2010,87,93,78,29.3,25.2,31.6,35.1,29.5,26.9,10.1,10.1,61
6/25/2010,83,93,71,30,25.2,31.9,35.1,29.4,27.4,10.1,10.1,63
6/26/2010,89,94,82,29.6,25.4,32.7,36.7,31.1,27.1,6.2,6.2,55
6/27/2010,89,95,77,29.4,25,32.3,36.2,29.9,26.8,8.5,8.5,61
6/28/2010,90,94,82,28.5,24.9,30.5,33.5,29.2,25.9,27.8,27.8,63
6/29/2010,87,95,74,29.1,24.8,30.7,33.5,28.2,26.6,22.6,22.6,63
6/30/2010,85,94,71,28.5,24.7,30.3,31.5,28.4,26.4,17.2,17.2,63
7/1/2010,90,94,81,28.1,24.5,30,32.6,28.2,26,16.7,16.7,63
7/2/2010,89,93,80,28.4,25.1,30.7,33.7,29,26.2,5.3,5.3,53
7/3/2010,89,94,79,28,25.1,31,33.3,29.8,26.2,4.7,4.7,55
7/4/2010,89,93,84,28.3,24.6,31,34.1,28.7,26.2,2,2,51
7/5/2010,91,95,84,27.3,24.8,30.8,32.9,30,25.7,26.1,26.1,63
7/6/2010,87,95,77,28.4,24.7,31.4,32.6,29.9,26.5,1.4,1.4,51
7/7/2010,85,95,69,30.1,23.9,32.3,36.9,28.6,26.8,4.2,4.2,61
7/8/2010,88,96,77,29.9,24.4,32.7,38.2,29.7,26.7,9.8,9.8,63
7/9/2010,87,96,74,30.1,23.7,32.5,38.6,28.6,26.5,5.9,5.9,61
7/10/2010,85,96,70,30.2,24.2,31.9,36.8,29.1,26.7,3.8,3.8,61
7/11/2010,84,91,74,28.9,24.9,30.9,33.1,29.6,26.7,1.9,1.9,61
7/12/2010,88,94,80,28.1,24.5,30.1,32.4,28.4,26,7.4,7.4,61
7/13/2010,85,91,78,27.6,24.9,30.5,32,29.6,26.3,4.6,4.6,55
7/14/2010,88,94,76,28.7,24.8,30.9,33.4,28.7,26.3,8.5,8.5,61
7/15/2010,88,95,80,28.5,24.2,30.6,33.1,28.8,26.1,18.7,18.7,63
7/16/2010,87,94,79,27.9,24.4,29.6,31.1,28.3,25.8,29.4,29.4,63
7/17/2010,89,94,81,28,24.6,30.9,33.3,29.1,26.1,15.7,15.7,63
7/18/2010,88,94,78,28.8,25,31.3,33.4,29.7,26.6,11,11,61
7/19/2010,89,95,80,28.5,24.7,30.9,34.2,29.2,26.1,39.2,39.2,63
7/20/2010,90,95,79,28.3,24.5,30.8,33.3,29.4,25.8,9,9,53
7/21/2010,87,95,71,29.3,25,32,35.7,29.7,26.7,2.2,2.2,51
7/22/2010,88,93,82,28.9,25,32.1,35.2,30,26.8,1.5,1.5,51
7/23/2010,84,93,72,28.7,24.9,31.3,32.4,30.2,26.8,1.9,1.9,51
7/24/2010,87,91,81,28.7,25.3,31.5,34.4,29.5,26.7,6.6,6.6,61
7/25/2010,87,91,84,28.5,25.3,31.4,34.9,29.9,26.6,3.8,3.8,61
7/26/2010,88,93,80,29.1,24.9,32.1,35.6,30.1,26.8,2.8,2.8,55
7/27/2010,88,96,80,28.5,24.8,31.6,34.6,29.2,26.5,7.9,7.9,61
7/28/2010,89,94,80,29,25.1,31.5,35.2,29.4,26.5,9.2,9.2,61
7/29/2010,87,93,77,28.6,24.7,31,34.5,28.4,26.4,4,4,53
7/30/2010,89,94,82,28.1,25,31.2,34,30,26.2,10.7,10.7,63
7/31/2010,87,94,73,28.9,24.7,31.6,34.4,29.8,26.5,3.7,3.7,63
8/1/2010,86,93,75,28.7,25,31.5,34.2,30.2,26.6,0.1,0.1,51
8/2/2010,87,93,75,28.8,25.2,31.6,34.7,30.3,26.7,2.2,2.2,51
8/3/2010,91,95,84,27.6,25.1,31.2,33.2,30.2,26.1,11.3,11.3,61
8/4/2010,89,94,81,28.2,24.6,31.5,34.2,29.5,26.3,6.6,6.6,63
8/5/2010,88,95,74,29,25,31.8,34.6,30.2,26.7,0.8,0.8,51
8/6/2010,89,95,83,28.5,25.3,31.7,34.7,30,26.6,2,2,51
8/7/2010,89,95,82,28.6,24.8,31.2,33.9,29.2,26.4,1.4,1.4,51
8/8/2010,88,93,82,28.6,25.4,31.3,34.6,30.4,26.5,5.8,5.8,61
8/9/2010,89,93,86,28,25.3,31.3,33.5,29.8,26.4,13.9,13.9,63
8/10/2010,84,91,74,28.9,25.3,31.7,33.9,30.4,26.9,1.6,1.6,51
8/11/2010,84,90,74,28.8,25.9,31.6,33.2,30.9,27,1.2,1.2,51
8/12/2010,87,91,79,28.3,25.3,31.3,33.1,29.9,26.5,6.6,6.6,61
8/13/2010,89,95,84,27.5,24.5,30,31.5,28.8,25.8,20.9,20.9,63
8/14/2010,87,92,77,28.3,25.1,30.5,32.3,29.1,26.4,10.8,10.8,61
8/15/2010,86,93,78,27.6,25,30.1,31.1,28.7,26.2,7.6,7.6,61
8/16/2010,86,91,75,28.4,25,30.3,32.7,28.9,26,5.2,5.2,55
8/17/2010,85,92,75,28,24.8,29.9,31.1,28.8,26.2,3.3,3.3,53
8/18/2010,85,91,78,28.2,25,30.4,32.6,29.2,26.3,1.4,1.4,51
8/19/2010,86,92,75,28,24.9,30.8,32.1,30,26.1,0.4,0.4,51
8/20/2010,90,96,82,27.7,25.1,30.9,32.5,30.2,25.9,13.3,13.3,63
8/21/2010,90,93,84,27.3,24.7,30.4,31.7,29.5,25.7,10.6,10.6,61
8/22/2010,86,91,76,28.5,24.7,30.6,34.4,29.2,26.1,2.4,2.4,53
8/23/2010,86,89,82,28.1,25,30.3,33,29.2,26.2,5.6,5.6,61
8/24/2010,85,89,81,27.4,25.3,29.4,30.9,28,26.2,11.1,11.1,61
8/25/2010,87,89,83,27.6,25.5,30,31.7,28.7,26.2,2,2,53
8/26/2010,87,91,78,28.1,24.6,30.3,33,28.5,26.1,3.5,3.5,53
8/27/2010,83,90,72,28.4,24.9,30.4,32.2,29,26.3,0.3,0.3,51
8/28/2010,87,94,75,28.2,24.1,30,32.3,28.3,25.8,6,6,55
8/29/2010,92,94,88,26.7,23.9,29.1,31.1,27.9,25,36.8,36.8,63
8/30/2010,88,94,80,26.5,24.2,28.9,29.8,28.2,25.3,28,28,63
8/31/2010,85,93,73,27.8,23.1,29.8,31.1,27.1,25.6,1.9,1.9,55
9/1/2010,86,95,74,28.6,23.6,30.8,34.2,28.4,26,0,0,3
9/2/2010,85,93,75,27.8,24.7,30.5,31.6,29.6,26.1,0.8,0.8,51
9/3/2010,84,91,75,28.2,25.2,30.6,32.4,29.6,26.5,2.8,2.8,51
9/4/2010,85,92,80,28.5,24.7,30.7,33.7,28.9,26.4,3.1,3.1,51
9/5/2010,86,96,71,29,24.4,31,34.3,29.1,26.4,2.1,2.1,51
9/6/2010,90,96,80,28.6,24.2,31.1,36,29,26,3,3,53
9/7/2010,88,94,82,28.7,24.7,31.3,34.9,29.4,26.4,2,2,51
9/8/2010,88,93,83,29,24.9,32.1,36,30,26.6,3.8,3.8,53
9/9/2010,91,94,87,28.5,24.5,31.5,35.7,29.2,26.2,5.4,5.4,55
9/10/2010,90,94,84,28.1,24.2,31,34.9,29.1,25.7,13.7,13.7,63
9/11/2010,86,94,74,28.8,24.2,31.7,35,29.3,26.5,2.5,2.5,51
9/12/2010,86,93,81,28.5,25,31.6,34.1,30.1,26.5,1,1,51
9/13/2010,88,93,81,28.8,24.7,31,35.8,29.6,26.2,8.3,8.3,61
9/14/2010,88,93,83,28.6,24.8,31.2,35,29.9,26.2,5,5,53
9/15/2010,89,95,83,28,24.4,30.8,33.2,29.2,26,6.9,6.9,55
9/16/2010,88,94,82,29,24.8,31.3,35.2,29.7,26.3,4.9,4.9,55
9/17/2010,86,91,83,29.2,25.5,32.2,35.9,30.2,27,2.9,2.9,51
9/18/2010,89,94,83,27.7,24.7,30.3,32,28.9,25.9,38.7,38.7,63
9/19/2010,88,95,80,27.8,24.5,30.5,31.9,29.3,26,11,11,61
9/20/2010,88,96,74,28.8,24.4,31.6,35.5,29.5,26.3,1.7,1.7,53
9/21/2010,91,96,84,28.2,24.3,31.1,35,29.5,25.8,5.4,5.4,55
9/22/2010,89,96,76,28.7,24,30.9,34.7,29.1,25.8,11.2,11.2,61
9/23/2010,89,96,81,27.6,23.8,29.8,32.3,28.3,25.3,22,22,63
9/24/2010,91,95,84,26.7,24,29.5,31.6,28,25,32.2,32.2,63
9/25/2010,86,94,74,28.2,24.3,30.8,32.8,28.9,26,10,10,61
9/26/2010,88,95,79,29,24.4,31.5,36,29.7,26.1,6.4,6.4,63
9/27/2010,90,96,78,28,23.9,30.7,34,28.2,25.6,13,13,63
9/28/2010,90,96,82,27.2,23.8,30.3,32.3,28.3,25.4,15.9,15.9,63
9/29/2010,89,95,78,27.3,23.2,29.3,33.2,26.8,24.6,9.5,9.5,63
9/30/2010,86,94,76,27.4,22.6,29.7,32.1,26.4,25,8.9,8.9,55
10/1/2010,88,96,77,29.3,24,31.1,36.5,29.1,25.8,12.3,12.3,63
10/2/2010,94,96,88,26.1,24.1,29.9,31.7,28.8,24.7,74.9,74.9,65
10/3/2010,90,96,80,27.7,23.6,30.7,33,28.5,25.6,23.1,23.1,63
10/4/2010,85,95,73,29.1,24.2,31.5,34.1,29.5,26.7,5.6,5.6,55
10/5/2010,87,92,77,29.1,25.2,31.1,34.2,29.6,26.6,17.8,17.8,63
10/6/2010,88,94,78,28.2,25.2,30.4,31.7,29.4,26.4,14.8,14.8,61
10/7/2010,87,93,79,28.1,24.9,30.5,32.3,29,26.3,14.1,14.1,61
10/8/2010,88,94,78,28.4,25,30.4,33.2,29,26.3,11.1,11.1,61
10/9/2010,88,92,82,28,24.8,30.3,32.3,28.4,26.2,9.9,9.9,61
10/10/2010,86,94,79,29.2,24.9,31.6,34.6,30,26.9,2.1,2.1,51
10/11/2010,87,91,81,29,25.2,31.6,35.3,29.7,26.8,2.8,2.8,51
10/12/2010,86,93,76,28.9,25.2,31.6,34.2,30.2,26.7,1.9,1.9,51
10/13/2010,80,89,69,29.2,25.1,31.2,34.1,29.6,26.8,0.2,0.2,51
